#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan M00580_TRU_20230913_concatenated.fastq.gz --input_type fastq -o M00580_TRU_20230913_output.tsv
#1000000 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	55.16447	
k__Bacteria|p__Firmicutes	2|1239	39.76624	
k__Bacteria|p__Proteobacteria	2|1224	2.61375	
k__Bacteria|p__Spirochaetes	2|203691	1.50487	
k__Bacteria|p__Actinobacteria	2|201174	0.95067	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	52.70838	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.42766	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	10.92762	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.23926	
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	1.98997	
k__Bacteria|p__Spirochaetes|c__CFGB9016	2|203691|	1.50487	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.34095	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.14972	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.95067	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.77234	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.50046	
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.46612	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.28557	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.16253	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.15164	
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	0.06596	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.05441	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	52.70838	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	21.42766	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	10.92762	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.23926	
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629	2|976||	1.98997	
k__Bacteria|p__Spirochaetes|c__CFGB9016|o__OFGB9016	2|203691||	1.50487	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	1.14972	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.01153	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.95067	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.77234	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.50046	
k__Bacteria|p__Bacteroidetes|c__CFGB529|o__OFGB529	2|976||	0.46612	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.32942	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.28557	
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798	2|1239||	0.16253	
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062	2|1239||	0.15164	
k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947	2|1239||	0.06596	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.05441	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	46.1204	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	13.74012	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	8.91466	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	5.13702	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.29326	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	2.23926	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	2.01296	
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629	2|976|||	1.98997	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.90461	
