clade_name	M00574-TRU-20230125_output	M00580_TRU_20230913_output
k__Bacteria	99.71137	100.0
k__Archaea	0.28863	0.0
k__Bacteria|p__Firmicutes	48.24915	39.76624
k__Bacteria|p__Tenericutes	18.44354	0.0
k__Bacteria|p__Verrucomicrobia	16.13116	0.0
k__Bacteria|p__Bacteroidetes	12.31133	55.16447
k__Bacteria|p__Actinobacteria	3.69871	0.95067
k__Bacteria|p__Proteobacteria	0.87748	2.61375
k__Archaea|p__Candidatus_Thermoplasmatota	0.28863	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	23.11953	21.42766
k__Bacteria|p__Tenericutes|c__CFGB343	18.44354	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	16.13116	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.31133	52.70838
k__Bacteria|p__Firmicutes|c__Bacilli	6.19009	10.92762
k__Bacteria|p__Firmicutes|c__CFGB2982	4.35436	0.0
k__Bacteria|p__Firmicutes|c__CFGB2985	3.38497	0.0
k__Bacteria|p__Firmicutes|c__CFGB73062	3.1046	0.15164
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2.52379	0.0
k__Bacteria|p__Firmicutes|c__CFGB2983	1.99831	0.0
k__Bacteria|p__Firmicutes|c__CFGB4806	1.97647	1.14972
k__Bacteria|p__Firmicutes|c__CFGB2979	1.32888	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.17492	0.95067
k__Bacteria|p__Firmicutes|c__CFGB38642	0.93682	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.87748	0.77234
k__Bacteria|p__Firmicutes|c__CFGB10477	0.67639	0.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	0.28863	0.0
k__Bacteria|p__Firmicutes|c__CFGB76360	0.04743	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	19.66265	21.42766
k__Bacteria|p__Tenericutes|c__CFGB343|o__OFGB343	18.44354	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	16.13116	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.31133	52.70838
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.19009	10.92762
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	4.35436	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.45688	0.0
